Origin,Timestamp,Value
Iran,2013.3333333327728,0
Syrian Arab Republic,2013.4166666661029,0
Afghanistan,2013.4166666661029,6240
Iraq,2013.4166666661029,5265
Lebanon,2013.4166666661029,219
Palestinian,2013.4166666661029,0
Pakistan,2013.4166666661029,4911
Iran,2013.4166666661029,0
Syrian Arab Republic,2013.499999999433,0
Afghanistan,2013.499999999433,5721
Iraq,2013.499999999433,5797
Lebanon,2013.499999999433,242
Palestinian,2013.499999999433,0
Pakistan,2013.499999999433,4709
Iran,2013.499999999433,0
Syrian Arab Republic,2013.583333332763,0
Afghanistan,2013.583333332763,6109
Iraq,2013.583333332763,7165
Lebanon,2013.583333332763,288
Palestinian,2013.583333332763,0
Pakistan,2013.583333332763,3988
Iran,2013.583333332763,0
Syrian Arab Republic,2013.666666666093,0
Afghanistan,2013.666666666093,6591
Iraq,2013.666666666093,8168
Lebanon,2013.666666666093,379
Palestinian,2013.666666666093,0
Pakistan,2013.666666666093,3674
Iran,2013.666666666093,0
Syrian Arab Republic,2013.7499999994232,0
Afghanistan,2013.7499999994232,6344
Iraq,2013.7499999994232,8303
Lebanon,2013.7499999994232,347
Palestinian,2013.7499999994232,0
Pakistan,2013.7499999994232,3427
Iran,2013.7499999994232,0
Syrian Arab Republic,2013.8333333327532,0
Afghanistan,2013.8333333327532,6437
Iraq,2013.8333333327532,8895
Lebanon,2013.8333333327532,235
Palestinian,2013.8333333327532,0
Pakistan,2013.8333333327532,3263
Iran,2013.8333333327532,0
Syrian Arab Republic,2013.9166666660833,0
Afghanistan,2013.9166666660833,6927
Iraq,2013.9166666660833,7388
Lebanon,2013.9166666660833,302
Palestinian,2013.9166666660833,0
Pakistan,2013.9166666660833,3381
Iran,2013.9166666660833,0
Syrian Arab Republic,2013.9999999994134,0
Afghanistan,2013.9999999994134,6379
Iraq,2013.9999999994134,6078
Lebanon,2013.9999999994134,342
Palestinian,2013.9999999994134,0
Pakistan,2013.9999999994134,3448
Iran,2013.9999999994134,0
Syrian Arab Republic,2014.0833333327435,0
Afghanistan,2014.0833333327435,5369
Iraq,2014.0833333327435,6017
Lebanon,2014.0833333327435,246
Palestinian,2014.0833333327435,0
Pakistan,2014.0833333327435,3589
Iran,2014.0833333327435,0
Syrian Arab Republic,2014.1666666660735,0
Afghanistan,2014.1666666660735,5151
Iraq,2014.1666666660735,6147
Lebanon,2014.1666666660735,248
Palestinian,2014.1666666660735,0
Pakistan,2014.1666666660735,3554
Iran,2014.1666666660735,0
Syrian Arab Republic,2014.2499999994036,0
Afghanistan,2014.2499999994036,5590
Iraq,2014.2499999994036,5957
Lebanon,2014.2499999994036,225
Palestinian,2014.2499999994036,0
Pakistan,2014.2499999994036,3323
Iran,2014.2499999994036,0
Syrian Arab Republic,2014.3333333327337,0
Afghanistan,2014.3333333327337,7683
Iraq,2014.3333333327337,8568
Lebanon,2014.3333333327337,216
Palestinian,2014.3333333327337,0
Pakistan,2014.3333333327337,3395
Iran,2014.3333333327337,0
Syrian Arab Republic,2014.4166666660637,0
Afghanistan,2014.4166666660637,9464
Iraq,2014.4166666660637,14234
Lebanon,2014.4166666660637,268
Palestinian,2014.4166666660637,0
Pakistan,2014.4166666660637,3760
Iran,2014.4166666660637,0
Syrian Arab Republic,2014.4999999993938,0
Afghanistan,2014.4999999993938,10509
Iraq,2014.4999999993938,15526
Lebanon,2014.4999999993938,266
Palestinian,2014.4999999993938,0
Pakistan,2014.4999999993938,4053
Iran,2014.4999999993938,0
Syrian Arab Republic,2014.583333332724,0
Afghanistan,2014.583333332724,13106
